Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-10.mltl,0.018000000000000002,35491.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-1.mltl,0.018000000000000002,35568.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-2.mltl,0.014,35528.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-3.mltl,0.014,35493.6,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-4.mltl,0.01,33960.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-5.mltl,-1,-1,TO
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-6.mltl,0.018000000000000002,35220,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-7.mltl,0.02,35488.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-8.mltl,0.022,35520.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-9.mltl,0.052000000000000005,37365.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-10.mltl,0.022,35587.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-1.mltl,0.016,35196.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-2.mltl,0.014,35196,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-3.mltl,0.012,33976,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-4.mltl,0.016,35756,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-5.mltl,0.016,29298.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-6.mltl,0.018000000000000002,35539.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-7.mltl,0.016,35543.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-8.mltl,0.014,34005.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-9.mltl,0.012,29309.6,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-10.mltl,0.016,35538.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-1.mltl,0.016,34600.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-2.mltl,0.014,35511.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-3.mltl,0.018000000000000002,35482.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-4.mltl,0.016,35211.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-5.mltl,0.012,34604,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-6.mltl,0.018000000000000002,35544,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-7.mltl,0.014,29924.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-8.mltl,0.016,33638.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-9.mltl,0.018000000000000002,35496,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-10.mltl,0.012,34922.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-1.mltl,0.012,29627.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-2.mltl,0.012,29902.4,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-3.mltl,0.014,35504,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-4.mltl,-1,-1,TO
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-5.mltl,0.02,29638.4,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-6.mltl,0.02,35583.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-7.mltl,0.018,35500.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-8.mltl,0.014,29599.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-9.mltl,0.022,35489.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-10.mltl,0.012,34624.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-1.mltl,-1,-1,TO
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-2.mltl,0.016,35512.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-3.mltl,0.02,35514.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-4.mltl,0.016,33922.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-5.mltl,0.016,35509.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-6.mltl,0.016,35522.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-7.mltl,0.032,37064,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-8.mltl,0.018000000000000002,35518.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-9.mltl,0.012,30880.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-10.mltl,0.016,35513.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-1.mltl,0.02,35550.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-2.mltl,0.59,44708.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-3.mltl,0.084,38556.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-4.mltl,0.012,29916.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-5.mltl,0.024,35531.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-6.mltl,0.012,29609.6,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-7.mltl,0.014,35580,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-8.mltl,0.016,35518.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-9.mltl,0.018000000000000002,35478.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-10.mltl,0.022,35544,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-1.mltl,0.018,35563.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-2.mltl,0.018,35211.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-3.mltl,0.014,29939.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-4.mltl,0.014,35495.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-5.mltl,0.014,35224.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-6.mltl,0.01,29646.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-7.mltl,0.016,35180,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-8.mltl,0.012,33967.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-9.mltl,0.016,35514.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-10.mltl,0.012,35560,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-1.mltl,-1,-1,TO
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-2.mltl,0.012,35520,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-3.mltl,0.018000000000000002,35551.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-4.mltl,0.014,35524,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-5.mltl,0.012,35188.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-6.mltl,0.018,35493.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-7.mltl,-1,-1,TO
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-8.mltl,0.014,35518.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-9.mltl,0.01,33972,sat
