Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-10.mltl,0.812,16951.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-1.mltl,0.956,16991.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-2.mltl,0.818,16980.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-3.mltl,0.9540000000000001,16957.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-4.mltl,1.03,20668.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-5.mltl,1.006,17002.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-6.mltl,0.96,16971.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-7.mltl,1.0,16983.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-8.mltl,1.06,16988.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-9.mltl,1.046,16979.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-10.mltl,1.072,16984.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-1.mltl,1.06,16988,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-2.mltl,1.028,20675.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-3.mltl,0.982,16970.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-4.mltl,1.042,16974.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-5.mltl,1.098,16960,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-6.mltl,1.04,16980,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-7.mltl,0.944,16984.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-8.mltl,0.992,17894.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-9.mltl,1.02,16993.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-10.mltl,1.092,29939.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-1.mltl,0.906,20376.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-2.mltl,1.03,16972,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-3.mltl,1.006,20689.6,sat
