Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-10.mltl,0.0,7798.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-1.mltl,0.0,7487.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-2.mltl,0.0,7822.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-3.mltl,-1,-1,TO
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-4.mltl,0.0,7802.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-5.mltl,0.012,12400.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-6.mltl,0.0,9352,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-7.mltl,0.0,7812,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-8.mltl,0.0,7490.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-9.mltl,0.0,9325.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-10.mltl,0.0,7498.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-1.mltl,0.0,7796.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-2.mltl,0.0,7772.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-3.mltl,0.0,7487.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-4.mltl,0.0,7810.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-5.mltl,0.0,7823.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-6.mltl,0.0,7493.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-7.mltl,0.0,7784,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-8.mltl,0.0,7802.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-9.mltl,0.0,7804.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-10.mltl,0.0,7179.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-1.mltl,0.0,7774.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-2.mltl,0.0,7804,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-3.mltl,0.0,7815.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-4.mltl,0.0,7804,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-5.mltl,0.0,7816.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-6.mltl,0.0,7803.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-7.mltl,0.0,7480.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-8.mltl,0.0,7797.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-9.mltl,0.0,7791.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-10.mltl,0.0,7792,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-1.mltl,0.0,7494.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-2.mltl,0.0,7793.6,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-3.mltl,0.0,7804.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-4.mltl,0.0,7805.6,sat
