Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-10.mltl,0.01,35239.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-1.mltl,0.012,29649.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-2.mltl,0.01,35512,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-3.mltl,0.01,35486.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-4.mltl,0.014,35553.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-5.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-6.mltl,0.01,35516.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-7.mltl,0.01,35495.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-8.mltl,0.01,35504.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-9.mltl,0.012,35524.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-10.mltl,0.012,35521.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-1.mltl,0.01,35242.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-2.mltl,0.01,35196.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-3.mltl,0.01,34612,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-4.mltl,0.01,35504.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-5.mltl,0.012,29368.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-6.mltl,0.01,35501.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-7.mltl,0.01,35527.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-8.mltl,0.01,33936.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-9.mltl,0.012,29360,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-10.mltl,1.036,44436.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-1.mltl,0.012,35484,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-2.mltl,0.012,35522.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-3.mltl,0.01,35231.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-4.mltl,0.012,35474.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-5.mltl,0.01,35509.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-6.mltl,0.01,34914.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-7.mltl,0.01,35528,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-8.mltl,0.01,35300,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-9.mltl,0.01,34925.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-10.mltl,0.012,29673.6,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-1.mltl,0.012,35258.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-2.mltl,0.01,29973.6,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-3.mltl,0.012,33923.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-4.mltl,0.01,33922.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-5.mltl,0.01,29288,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-6.mltl,0.01,35488,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-7.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-8.mltl,0.01,35484.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-9.mltl,0.012,35526.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-10.mltl,0.01,35511.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-1.mltl,0.01,30263.2,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-2.mltl,0.014,35536.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-3.mltl,0.01,35489.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-4.mltl,0.01,35766.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-5.mltl,0.01,35537.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-6.mltl,0.012,29939.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-7.mltl,0.01,29640.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-8.mltl,0.012,29646.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-9.mltl,0.012,33948,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-10.mltl,0.01,35494.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-1.mltl,0.012,29968.8,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-2.mltl,0.01,33956.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-3.mltl,0.012,29651.2,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-4.mltl,0.03,37001.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-5.mltl,0.01,34889.6,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-6.mltl,0.01,35501.6,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-7.mltl,0.014,35536,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-8.mltl,0.01,29926.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-9.mltl,0.01,35469.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-10.mltl,0.056,36738.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-1.mltl,0.01,35516.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-2.mltl,0.012,35498.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-3.mltl,0.01,29948,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-4.mltl,0.01,35520,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-5.mltl,0.01,35242.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-6.mltl,0.01,35520.8,sat
