Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-10.mltl,0.0,7794.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-1.mltl,0.0,7470.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-2.mltl,0.0,7804,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-3.mltl,0.0,7819.2,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-4.mltl,0.0,7804.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-5.mltl,0.0,7820.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-6.mltl,0.0,7797.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-7.mltl,0.0,7807.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-8.mltl,0.0,7808,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-9.mltl,0.0,7774.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-10.mltl,0.0,7519.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-1.mltl,0.0,7833.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-2.mltl,0.0,7775.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-3.mltl,0.0,7788.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-4.mltl,0.0,7807.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-5.mltl,0.0,7807.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-6.mltl,0.0,7816,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-7.mltl,0.0,7822.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-8.mltl,0.0,7807.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-9.mltl,0.0,7786.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-10.mltl,0.04,10552.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-1.mltl,0.0,7822.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-2.mltl,0.0,7792,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-3.mltl,0.0,7808.8,sat
