Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Accumulator.smv.ltlf,0.01,35204.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AdditionGate.smv.ltlf,0.012,35517.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AntiSkidCommandFacility.smv.ltlf,0.014,35536.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AntiskidShutoffValve.smv.ltlf,0.01,35513.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/BrakeActuator.smv.ltlf,0.012,35541.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/BrakeCommandFacility.smv.ltlf,0.012,35531.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicFuse.smv.ltlf,0.016,35472.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicPiston.smv.ltlf,0.012,35568,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicPump.smv.ltlf,0.012,35505.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/MeterValve.smv.ltlf,0.012,34949.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/MonitorSystem.smv.ltlf,0.016,35522.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/out/extended_wbs_arch1.smv.ltlf,2.032,107342.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/SensorPedalPosition.smv.ltlf,0.016,35560,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Sensor.smv.ltlf,0.012,35532.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/ShutoffValve.smv.ltlf,0.012,35527.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/wbs_arch1_simp.smv.ltlf,0.458,49297.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/wbs_arch1.smv.ltlf,0.68,69328,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Wheel.smv.ltlf,0.014,35475.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis/out/extended_wbs_arch2bis.smv.ltlf,9.78,195665.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/AlternateCommandCalculator.smv.ltlf,0.012,35499.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/NormalCommandCalculator.smv.ltlf,0.014,35549.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/OrGate.smv.ltlf,0.012,35561.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/SelectorValve.smv.ltlf,0.012,35479.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/SwitchGate.smv.ltlf,0.016,35516,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/wbs_arch2bis_simp.smv.ltlf,5.174,183276,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/wbs_arch2bis.smv.ltlf,6.026,190760.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2/out/extended_wbs_arch2.smv.ltlf,6.694,189414.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2_with_normal_alternate_mutex/wbs_arch2_simp.smv.ltlf,3.446,187468,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2_with_normal_alternate_mutex/wbs_arch2.smv.ltlf,6.352,181659.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch3/out/extended_wbs_arch3.smv.ltlf,1.308,74815.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch3/wbs_arch3_simp.smv.ltlf,6.724,186868,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch3/wbs_arch3.smv.ltlf,4.2540000000000004,191217.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch4/out/extended_wbs_arch4.smv.ltlf,6.768,190888.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch4/wbs_arch4_simp.smv.ltlf,19.419999999999998,343276.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch4/wbs_arch4.smv.ltlf,1.8679999999999999,109876.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_1.smv.ltlf,0.682,67755.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_2.smv.ltlf,4.668,188551.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_3.smv.ltlf,4.948,190368.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_4.smv.ltlf,14.752,337864.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_5.smv.ltlf,6.732,184015.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_6.smv.ltlf,11.428,190840.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_7.smv.ltlf,19.266,338661.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_1.smv.ltlf,0.322,47775.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_2.smv.ltlf,7.872,188504.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_3.smv.ltlf,4.58,188488,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_4.smv.ltlf,29.342000000000002,362056.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_5.smv.ltlf,9.908,201289.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_6.smv.ltlf,22.828,213316.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_7.smv.ltlf,8.414,193664.8,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/oss/sample.smv.ltlf,0.022,35504.8,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/oss/universal_extended_val.smv.ltlf,0.01,35536,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/oss/universal_prop.smv.ltlf,-1,-1,Error 101
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/dummy/GCDR.smv.ltlf,0.018000000000000002,35536.8,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/dummy/ProtocolPolicy.smv.ltlf,0.016,35528,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/ACDR_nonreceptive.smv.ltlf,0.024,37032,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/ACDR_simple.smv.ltlf,0.02,35425.6,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/ACDR.smv.ltlf,0.022,35474.4,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/CommunicationLayer.smv.ltlf,0.014,35547.2,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/fault_dynamics.smv.ltlf,0.012,29290.4,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/GCDR.smv.ltlf,0.022,35494.4,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/RouteManager.smv.ltlf,0.01,33936.8,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/verification.divided.smv.ltlf,0.034,37023.2,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/verification.smv.ltlf,0.032,37058.4,sat
