Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-10.mltl,0.01,35518.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-1.mltl,0.014,30248.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-2.mltl,0.018000000000000002,35458.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-3.mltl,0.01,34913.6,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-4.mltl,0.012,35524.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-5.mltl,-1,-1,TO
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-6.mltl,0.014,35529.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-7.mltl,0.02,35502.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-8.mltl,0.018000000000000002,35508,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-9.mltl,0.018000000000000002,35210.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-10.mltl,0.01,35191.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-1.mltl,0.014,34904.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-2.mltl,0.014,35485.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-3.mltl,0.014,34884.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-4.mltl,0.012,35555.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-5.mltl,0.012,29304.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-6.mltl,0.014,35516,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-7.mltl,0.014,35535.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-8.mltl,0.012,33982.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-9.mltl,0.012,29305.6,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-10.mltl,1.032,44670.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-1.mltl,0.012,35194.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-2.mltl,0.018,35490.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-3.mltl,0.014,35494.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-4.mltl,0.01,35512.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-5.mltl,0.012,35495.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-6.mltl,0.01,35212,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-7.mltl,0.014,35526.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-8.mltl,0.012,35469.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-9.mltl,0.012,35496,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-10.mltl,0.012,29915.2,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-1.mltl,0.014,35497.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-2.mltl,0.01,29324.8,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-3.mltl,0.012,33930.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-4.mltl,0.01,33668.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-5.mltl,0.014,29300,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-6.mltl,0.014,35523.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-7.mltl,-1,-1,TO
