Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-10.mltl,0.012,35516,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-1.mltl,0.012,35536,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-2.mltl,0.012,35512,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-3.mltl,0.01,35190.4,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-4.mltl,0.01,33971.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-5.mltl,-1,-1,TO
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-6.mltl,0.012,35535.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-7.mltl,0.012,35183.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-8.mltl,0.022,35503.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-9.mltl,0.046,37047.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-10.mltl,0.01,35187.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-1.mltl,0.012,34908,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-2.mltl,0.01,35491.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-3.mltl,0.014,33929.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-4.mltl,0.012,35480.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-5.mltl,0.012,29602.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-6.mltl,0.01,35544,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-7.mltl,0.01,35504.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-8.mltl,0.01,33971.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-9.mltl,0.01,29615.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-10.mltl,0.012,35564.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-1.mltl,0.01,35534.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-2.mltl,0.012,35535.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-3.mltl,0.01,35524.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-4.mltl,0.01,35580,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-5.mltl,0.012,35181.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-6.mltl,0.012,35536.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-7.mltl,0.012,29659.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-8.mltl,0.012,33968.8,sat
