Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Accumulator.smv.ltlf,0.0,7488.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AdditionGate.smv.ltlf,0.0,7490.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AntiSkidCommandFacility.smv.ltlf,0.0,7808,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AntiskidShutoffValve.smv.ltlf,0.0,7807.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/BrakeActuator.smv.ltlf,0.0,7193.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/BrakeCommandFacility.smv.ltlf,0.0,7823.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicFuse.smv.ltlf,0.0,7779.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicPiston.smv.ltlf,0.0,7500.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicPump.smv.ltlf,0.0,7476,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/MeterValve.smv.ltlf,0.0,7784.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/MonitorSystem.smv.ltlf,0.006,9644,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/out/extended_wbs_arch1.smv.ltlf,16.592,6679848,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/SensorPedalPosition.smv.ltlf,0.0,7796.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Sensor.smv.ltlf,0.0,7463.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/ShutoffValve.smv.ltlf,0.0,7817.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/wbs_arch1_simp.smv.ltlf,12.468,3569483.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/wbs_arch1.smv.ltlf,14.728,5870364,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Wheel.smv.ltlf,0.0,7782.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis/out/extended_wbs_arch2bis.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/AlternateCommandCalculator.smv.ltlf,0.0,7791.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/NormalCommandCalculator.smv.ltlf,0.0,7791.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/OrGate.smv.ltlf,0.0,7790.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/SelectorValve.smv.ltlf,0.0,7486.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/SwitchGate.smv.ltlf,0.0,7473.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/wbs_arch2bis_simp.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/wbs_arch2bis.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2/out/extended_wbs_arch2.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2_with_normal_alternate_mutex/wbs_arch2_simp.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2_with_normal_alternate_mutex/wbs_arch2.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch3/out/extended_wbs_arch3.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch3/wbs_arch3_simp.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch3/wbs_arch3.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch4/out/extended_wbs_arch4.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch4/wbs_arch4_simp.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch4/wbs_arch4.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_1.smv.ltlf,12.164,3929792,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_2.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_3.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_4.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_5.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_6.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_7.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_1.smv.ltlf,11.452,4271736.8,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_2.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_3.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_4.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_5.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_6.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_7.smv.ltlf,-1,-1,TO
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/oss/sample.smv.ltlf,0.0,7811.2,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/oss/universal_extended_val.smv.ltlf,1.338,824898.4,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/oss/universal_prop.smv.ltlf,-1,-1,Error 101
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/dummy/GCDR.smv.ltlf,0.0,9344.8,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/dummy/ProtocolPolicy.smv.ltlf,0.0,7797.6,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/ACDR_nonreceptive.smv.ltlf,0.0,7804,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/ACDR_simple.smv.ltlf,0.0,7803.2,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/ACDR.smv.ltlf,0.0,7793.6,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/CommunicationLayer.smv.ltlf,0.0,7809.6,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/fault_dynamics.smv.ltlf,0.0,7802.4,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/GCDR.smv.ltlf,0.0,7783.2,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/RouteManager.smv.ltlf,0.0,7799.2,sat
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/verification.divided.smv.ltlf,-1,-1,OOM
mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/verification.smv.ltlf,0.32,158008,sat
