Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Accumulator.smv.ltlf,0.482,16979.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AdditionGate.smv.ltlf,0.48,16979.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AntiSkidCommandFacility.smv.ltlf,0.51,17284,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AntiskidShutoffValve.smv.ltlf,0.51,16971.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/BrakeActuator.smv.ltlf,0.518,16987.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/BrakeCommandFacility.smv.ltlf,0.514,16985.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicFuse.smv.ltlf,0.508,16685.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicPiston.smv.ltlf,0.506,16974.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicPump.smv.ltlf,0.476,16964,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/MeterValve.smv.ltlf,0.48,17282.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/MonitorSystem.smv.ltlf,0.476,19155.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/out/extended_wbs_arch1.smv.ltlf,2.7920000000000003,1021543.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/SensorPedalPosition.smv.ltlf,0.512,16988,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Sensor.smv.ltlf,0.496,16965.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/ShutoffValve.smv.ltlf,0.51,16975.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/wbs_arch1_simp.smv.ltlf,0.918,175494.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/wbs_arch1.smv.ltlf,1.186,291315.2,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Wheel.smv.ltlf,0.5,16986.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis/out/extended_wbs_arch2bis.smv.ltlf,11.352,4471382.4,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/AlternateCommandCalculator.smv.ltlf,0.5,16997.6,sat
mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/NormalCommandCalculator.smv.ltlf,0.506,16990.4,sat
