Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-10.mltl,0.476,16965.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-1.mltl,0.44,16976,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-2.mltl,0.434,16957.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-3.mltl,0.456,16951.2,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-4.mltl,0.432,16966.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-5.mltl,0.478,16974.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-6.mltl,0.45599999999999996,16971.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-7.mltl,0.438,16960,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-8.mltl,0.456,16968,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-9.mltl,0.434,16972,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-10.mltl,0.478,20714.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-1.mltl,0.47,16976.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-2.mltl,0.452,16968,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-3.mltl,0.448,16974.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-4.mltl,0.46799999999999997,16963.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-5.mltl,0.464,16971.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-6.mltl,0.462,16977.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-7.mltl,0.45799999999999996,16971.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-8.mltl,0.484,16989.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-9.mltl,0.46,16976.8,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-10.mltl,0.5,33645.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-1.mltl,0.46799999999999997,16981.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-2.mltl,0.46799999999999997,16986.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-3.mltl,0.46199999999999997,16968,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-4.mltl,0.454,16967.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-5.mltl,0.45799999999999996,16960,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-6.mltl,0.458,16959.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-7.mltl,0.454,16963.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-8.mltl,0.458,16985.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-9.mltl,0.46199999999999997,16969.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-10.mltl,0.47,16960,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-1.mltl,0.492,33073.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-2.mltl,0.442,16968.8,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-3.mltl,0.41,16977.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-4.mltl,0.422,16986.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-5.mltl,0.426,16681.6,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-6.mltl,0.422,16976,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-7.mltl,0.434,21298.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-8.mltl,0.414,16979.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-9.mltl,0.426,20677.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-10.mltl,0.418,16980.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-1.mltl,0.42,16968,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-2.mltl,0.416,16968.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-3.mltl,0.42,20688.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-4.mltl,0.424,16979.2,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-5.mltl,0.416,16968,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-6.mltl,0.402,16976.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-7.mltl,0.416,16958.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-8.mltl,0.416,16975.2,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-9.mltl,0.412,16974.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-10.mltl,0.444,16954.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-1.mltl,0.438,16974.4,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-2.mltl,0.442,16984,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-3.mltl,0.444,16671.2,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-4.mltl,0.444,16673.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-5.mltl,0.438,16964.8,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-6.mltl,0.45,16665.6,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-7.mltl,0.44,16974.4,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-8.mltl,0.44,16965.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-9.mltl,0.452,35464,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-10.mltl,0.448,16967.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-1.mltl,0.426,16982.4,sat
