Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-10.mltl,1.012,19444.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-1.mltl,0.776,20662.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-2.mltl,1.01,18206.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-3.mltl,1.02,34268.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-4.mltl,1.042,16965.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-5.mltl,1.124,21932,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-6.mltl,0.998,16687.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-7.mltl,1.088,16956,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-8.mltl,1.09,16980,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-9.mltl,1.108,16976,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-10.mltl,1.082,16976.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-1.mltl,0.94,16982.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-2.mltl,0.984,16981.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-3.mltl,1.0,16968.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-4.mltl,1.002,16995.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-5.mltl,1.096,16963.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-6.mltl,1.008,20668.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-7.mltl,1.076,16667.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-8.mltl,1.048,16972,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-9.mltl,1.052,16964.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-10.mltl,1.008,16968,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-1.mltl,1.082,17000.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-2.mltl,1.104,16673.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-3.mltl,1.1280000000000001,16983.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-4.mltl,1.054,16989.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-5.mltl,1.11,16987.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-6.mltl,1.05,16674.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-7.mltl,1.09,16979.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-8.mltl,1.096,16986.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-9.mltl,1.038,16959.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-10.mltl,1.11,16664.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-1.mltl,1.024,19436,sat
