Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-10.mltl,0.0,7748.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-1.mltl,0.0,7790.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-2.mltl,0.0,7482.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-3.mltl,0.0,7483.2,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-4.mltl,0.0,7809.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-5.mltl,0.0,7830.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-6.mltl,0.0,7482.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-7.mltl,0.0,7806.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-8.mltl,0.0,7824.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-9.mltl,0.0,7772.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-10.mltl,0.0,7171.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-1.mltl,0.0,7180.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-2.mltl,0.0,7790.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-3.mltl,0.0,7789.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-4.mltl,0.0,7809.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-5.mltl,0.0,7804.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-6.mltl,0.0,7487.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-7.mltl,0.0,7484,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-8.mltl,0.0,7485.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-9.mltl,0.0,7817.6,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-10.mltl,0.03,10268.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-1.mltl,0.0,7804.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-2.mltl,0.0,7783.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-3.mltl,0.0,7808.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-4.mltl,0.0,7788.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-5.mltl,0.0,7811.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-6.mltl,0.0,7488,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-7.mltl,0.0,7792.8,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-8.mltl,0.0,7801.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-9.mltl,0.0,7839.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-10.mltl,0.0,7471.2,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-1.mltl,0.112,13925.6,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-2.mltl,0.0,7780.8,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-3.mltl,0.0,7811.2,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-4.mltl,0.0,7782.4,sat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-5.mltl,0.0,7808.8,unsat
mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-6.mltl,0.0,7801.6,sat
