Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-10.mltl,0.0,7169.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-1.mltl,0.0,7809.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-2.mltl,0.0,7786.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-3.mltl,-1,-1,TO
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-4.mltl,0.0,7491.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-5.mltl,0.012,12103.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-6.mltl,0.002,9328,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-7.mltl,0.0,7519.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-8.mltl,0.0,7480.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-9.mltl,0.002,9356.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-10.mltl,0.0,7801.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-1.mltl,0.0,7203.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-2.mltl,0.0,7809.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-3.mltl,0.0,7785.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-4.mltl,0.0,7831.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-5.mltl,0.0,7517.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-6.mltl,0.0,7794.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-7.mltl,0.0,7792,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-8.mltl,0.0,7495.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-9.mltl,0.0,7500.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-10.mltl,0.0,7184.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-1.mltl,0.0,7478.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-2.mltl,0.0,7204,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-3.mltl,0.0,7482.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-4.mltl,0.0,7159.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-5.mltl,0.0,7495.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-6.mltl,0.0,7485.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-7.mltl,0.0,7463.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-8.mltl,0.0,7798.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-9.mltl,0.0,7808,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-10.mltl,0.0,7806.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-1.mltl,0.0,7464.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-2.mltl,0.0,7816.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-3.mltl,0.0,7785.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-4.mltl,0.0,7772.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-5.mltl,0.0,7822.4,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-6.mltl,0.0,7775.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-7.mltl,0.0,7809.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-8.mltl,0.0,7806.4,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-9.mltl,0.0,7792,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-10.mltl,0.0,7804,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-1.mltl,0.0,9031.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-2.mltl,0.0,7794.4,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-3.mltl,0.0,7168,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-4.mltl,0.0,7492,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-5.mltl,0.0,7811.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-6.mltl,0.0,7801.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-7.mltl,0.0,9348.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-8.mltl,0.0,7830.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-9.mltl,0.0,7839.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-10.mltl,0.0,7776.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-1.mltl,0.0,7508.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-2.mltl,0.028,17017.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-3.mltl,0.0,7176.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-4.mltl,0.0,7775.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-5.mltl,0.0,7788.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-6.mltl,0.0,7788,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-7.mltl,0.0,7796.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-8.mltl,0.0,7497.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-9.mltl,0.0,7466.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-10.mltl,0.0,7800,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-1.mltl,0.0,7776,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-2.mltl,0.0,7796.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-3.mltl,0.0,7469.6,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-4.mltl,0.0,7793.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-5.mltl,0.0,7481.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-6.mltl,0.0,7813.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-7.mltl,0.0,7792.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-8.mltl,0.0,7808.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-9.mltl,0.0,7787.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-10.mltl,0.0,7480.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-1.mltl,0.0,7796,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-2.mltl,0.0,7807.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-3.mltl,0.0,7788.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-4.mltl,0.0,7818.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-5.mltl,0.0,7469.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-6.mltl,0.0,7808.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-7.mltl,0.0,7816.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-8.mltl,0.0,7817.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-9.mltl,0.0,7778.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L45M100T100-10.mltl,0.0,7766.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L45M100T100-1.mltl,0.0,7816.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L45M100T100-2.mltl,0.0,7788,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L45M100T100-3.mltl,0.0,6852,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L45M100T100-4.mltl,0.0,7835.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L45M100T100-5.mltl,0.0,7775.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L45M100T100-6.mltl,0.0,7831.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L45M100T100-7.mltl,0.0,7183.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L45M100T100-8.mltl,0.0,7808.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L45M100T100-9.mltl,0.0,7490.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L50M100T100-10.mltl,0.0,7170.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L50M100T100-1.mltl,0.0,7810.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L50M100T100-2.mltl,0.0,9376.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L50M100T100-3.mltl,0.0,7804.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L50M100T100-4.mltl,0.0,7480,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L50M100T100-5.mltl,0.0,7784,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L50M100T100-6.mltl,0.0,7197.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L50M100T100-7.mltl,0.0,7522.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L50M100T100-8.mltl,0.0,7821.6,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L50M100T100-9.mltl,0.0,7492.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L55M100T100-10.mltl,0.0,7812.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L55M100T100-1.mltl,0.0,7794.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L55M100T100-2.mltl,0.0,7771.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L55M100T100-3.mltl,0.0,7823.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L55M100T100-4.mltl,0.0,7482.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L55M100T100-5.mltl,0.0,7481.6,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L55M100T100-6.mltl,0.0,7231.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L55M100T100-7.mltl,0.0,7481.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L55M100T100-8.mltl,0.0,10905.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L55M100T100-9.mltl,0.0,7472,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L5M100T100-10.mltl,0.0,7792,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L5M100T100-1.mltl,0.0,7474.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L5M100T100-2.mltl,0.0,7802.4,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L5M100T100-3.mltl,0.0,7795.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L5M100T100-4.mltl,0.0,7501.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L5M100T100-5.mltl,0.0,7154.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L5M100T100-6.mltl,0.0,7769.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L5M100T100-7.mltl,0.0,7503.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L5M100T100-8.mltl,0.0,7512,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L5M100T100-9.mltl,0.0,7787.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L60M100T100-10.mltl,0.0,7808.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L60M100T100-1.mltl,0.0,7776.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L60M100T100-2.mltl,0.0,7820.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L60M100T100-3.mltl,0.0,7787.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L60M100T100-4.mltl,0.0,7816,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L60M100T100-5.mltl,0.0,7467.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L60M100T100-6.mltl,0.0,7791.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L60M100T100-7.mltl,0.0,7497.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L60M100T100-8.mltl,0.0,7769.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L60M100T100-9.mltl,0.0,7802.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L65M100T100-10.mltl,0.0,7816,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L65M100T100-1.mltl,0.0,7473.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L65M100T100-2.mltl,0.0,7772,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L65M100T100-3.mltl,0.0,7785.6,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L65M100T100-4.mltl,0.0,7489.6,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L65M100T100-5.mltl,0.0,9040.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L65M100T100-6.mltl,0.0,7788,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L65M100T100-7.mltl,0.0,7171.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L65M100T100-8.mltl,0.004,9332.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L65M100T100-9.mltl,0.0,7171.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L70M100T100-10.mltl,0.0,7788.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L70M100T100-1.mltl,0.0,7484,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L70M100T100-2.mltl,0.0,7804.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L70M100T100-3.mltl,0.0,7808,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L70M100T100-4.mltl,0.004,10853.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L70M100T100-5.mltl,0.0,7840,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L70M100T100-6.mltl,0.0,7791.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L70M100T100-7.mltl,0.0,7461.6,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L70M100T100-8.mltl,0.0,7499.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L70M100T100-9.mltl,0.0,7808,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L75M100T100-10.mltl,0.0,7799.2,sat
