Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-10.mltl,0.48,106418.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-1.mltl,0.49,103952,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-2.mltl,0.482,104224.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-3.mltl,0.488,104614.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-4.mltl,0.486,104939.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-5.mltl,0.528,141152.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-6.mltl,0.536,151944.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-7.mltl,0.484,105161.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-8.mltl,0.46799999999999997,104622.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-9.mltl,0.514,112588.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-10.mltl,0.476,107625.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-1.mltl,0.474,103666.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-2.mltl,0.468,104620,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-3.mltl,0.482,105501.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-4.mltl,0.474,105218.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-5.mltl,0.476,103612,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-6.mltl,0.484,105520,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-7.mltl,0.472,105469.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-8.mltl,0.462,104576,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-9.mltl,0.468,104580,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-10.mltl,0.792,213366.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-1.mltl,0.532,124264.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-2.mltl,0.5,119052,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-3.mltl,0.48,108553.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-4.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-5.mltl,0.47,104267.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-6.mltl,0.474,107065.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-7.mltl,0.476,104280.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-8.mltl,0.46799999999999997,106136.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-9.mltl,0.476,105819.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-10.mltl,0.47,104576.8,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-1.mltl,0.518,146960,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-2.mltl,0.484,106437.6,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-3.mltl,0.478,104297.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-4.mltl,0.46599999999999997,103968.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-5.mltl,0.474,106416.8,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-6.mltl,0.456,105883.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-7.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-8.mltl,0.474,106430.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-9.mltl,0.478,104248,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-10.mltl,0.472,104602.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-1.mltl,0.474,103964,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-2.mltl,0.472,106769.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-3.mltl,0.492,118408,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-4.mltl,0.478,106452.8,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-5.mltl,0.47,103683.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-6.mltl,0.472,104286.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-7.mltl,0.47,104258.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-8.mltl,0.47,103734.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-9.mltl,0.462,104340.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-10.mltl,0.468,106449.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-1.mltl,0.46799999999999997,104229.6,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-2.mltl,0.464,104312.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-3.mltl,0.472,104305.6,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-4.mltl,0.528,124281.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-5.mltl,0.474,106115.2,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-6.mltl,0.464,104288,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-7.mltl,0.476,114174.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-8.mltl,0.46799999999999997,104288,sat
