Name,Time (s),Total memory (KiB),Result
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-10.mltl,0.472,103416,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-1.mltl,0.476,103510.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-2.mltl,0.464,105958.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-3.mltl,-1,-1,TO
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-4.mltl,0.466,103527.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-5.mltl,0.79,149244.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-6.mltl,0.494,129627.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-7.mltl,0.46399999999999997,103155.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-8.mltl,-1,-1,TO
mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-9.mltl,-1,-1,TO
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-10.mltl,0.45,103496.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-1.mltl,0.462,105269.6,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-2.mltl,0.46,103487.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-3.mltl,0.46,103159.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-4.mltl,0.596,146498.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-5.mltl,0.464,103448,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-6.mltl,0.46599999999999997,109585.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-7.mltl,0.458,105012,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-8.mltl,0.46,103475.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-9.mltl,0.454,103527.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-10.mltl,0.462,103513.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-1.mltl,0.458,103427.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-2.mltl,0.46599999999999997,103463.2,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-3.mltl,0.46,104396.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-4.mltl,0.452,104399.2,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-5.mltl,0.454,105929.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-6.mltl,0.454,103468.8,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-7.mltl,0.454,103500.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-8.mltl,0.472,111116,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-9.mltl,0.454,103470.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-10.mltl,0.45,106578.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-1.mltl,0.46,103478.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-2.mltl,0.462,103464.8,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-3.mltl,0.46,104729.6,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-4.mltl,0.482,128086.4,sat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-5.mltl,0.46599999999999997,104110.4,unsat
mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-6.mltl,0.464,105285.6,sat
