Name,Time (s),Total memory (KiB),Result
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_33_j10_1.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_33_j10_2.stl,0.06,35783.2,unsat
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_33_j10_3.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_33_j10_4.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_33_j10_5.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_33_j5_1.stl,0.16,43218.4,sat
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_33_j5_2.stl,0.05,36729.6,sat
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_33_j5_3.stl,0.308,46288.8,sat
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_33_j5_4.stl,0.07,38585.6,sat
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_33_j5_5.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_5_j10_1.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_5_j10_2.stl,0.08,38567.2,unsat
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_5_j10_3.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_5_j10_4.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_5_j10_5.stl,0.07200000000000001,37953.6,unsat
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_5_j5_1.stl,0.054,37956.8,sat
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_5_j5_2.stl,0.04,37008.8,unsat
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_5_j5_3.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_5_j5_4.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_5_j5_5.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_75_j10_1.stl,-1,-1,TO
../resources/benchmarks/random/b0_r5_c10_l10000_i1000_ps0_05_pt0_75_j10_2.stl,0.096,40120.8,unsat
